"label","fitur"
1,"akhirnya jokowi bersedia mengundurkan diri akhirnya jokowi bersedia mengundurkan diri gue harus siap nih"
1,"info jalur rawan begal dan himbauan untuk tidak keluar malam oleh kapolres cianjur begal sudah mulai merambat ke wilayah cianjur wilayah rewan begal antara lain d harapkan waspada penuh terutama d malam hari jalur gekbrong arah sukabmi cibeber dari arah campaka sampe cilaku"
1,"dirut pt agung podomoro land cosmas batubara meninggal dunia turut berduka cita atas meninggalnya pejuang angkatan bapak cosmas batubara hari sabtu juli pukul wib semoga yang maha kuasa mengampuni segala dosanya dan mendapat tempat yang layak disisi nya aamiin"
1,"sby sudah telepon moeldoko suruh jokowi akui kekalahan bantu sebar ya pak sby sudah telpon moeldoko suruh jkw akui kekalahan ini info dari seorang jenderal jadi gak usah pada gusar panik lagi ya pejuangpejuang info valid"
1,"foto anak rohingya disiksa komunis relakah anak cucu kita dibikin seperti anak rohingya ini ketika komunis berkuasa "
1,"orang cina punya ktp cilacap atas nama karsono ini kejadian di pln pltu cilacap bunton adipala orang cina tidak bisa berbahasa indonesia apalagi bahasa jawa banyumasan tp punya ktp cilacap atas nama karsono payah kie camat dan bupatine kalau bener terjadi "
1,"fadli zon semua warga indonesia yang tidak pilih prabowo di pilpres akan kami usir dari indonesia fadlizon semua warga indonesia yg tdk pilih prabowo di pilpres akan km usir dr indonesia serius ini si zonk httpstcojvjxcjhmp"
1,"pesan berantai undian berhadiah dari kementerian tenaga kerja untuk pekerja migran indonesia di hongkong informasi resmi dari depnaker republik indonesia selamat anda terpilih mendapatkan penghargaan sebesar nt dari departemen ketenaga kerjaan indonesia sebagai pahlawan devisa negara terbaik tahun kode registrasi twn hubungi call office an haryono atau kunjungi alamat website wwwdepnakeryolasitecom bagi anda penerimah pemberitahuan ini melalui telephone atau sms whatsapp berarti telah resmi mendapatkan penghargaan tersebut tanpa diundi lagi penghargaan depnaker bebas biaya dan telah mendapat sertifikat bebas pajak dari pemerintah republik indonesia pengurusan penghargaan telah mendapat pengawasan dari kepolisian negara republik indonesia dumaksudkan untuk menghindari halhal negatif peringatan hati hati penipuan bila dalam pengurusan anda dimintai biaya dari oknum oknum yang tidak bertanggunh jawab tanpa sepengetahuan dari pihak depnaker ri pengirim depnaker ri "
1,"indonesia di penuhi pki hahhahhahahhaha indonesia di penuhi pki gimanah nih pa kowi "
0,"sandi sarankan warga ngadu ke kelurahan saja astaga sandiaga sarankan warga ngadu ke kelurahan saja tak perlu ke balai kota "
1,"demo dan konflik antara ojek online dengan angkutan umum di bandung prediksi besok bandung kota besok di sinyalir ada dua kubu besar demo lg besar an ojek online gabungan mau kumpul minta tggung jawab ke kubu angkot gabungan soalnya di jlbkr grab ojek di tabrak sngaja sampe mati di buah batu grab mati jg di tabrak angkot di karapitan grab jg di gebukin angkot ada jg ojek online yg hilang ga ada kabar"
0,"irina istri ahli it hermansyah disebut mantan psk irina istri ahli it hermansyah disebut mantan psk"
0,"nezar patria adalah kader pki ikut rapat setiap malam di istana setelah jam malam demikian tuduhan dari alfian tandjung nezar patria adalah kader pki ikut rapat setiap malam di istana setelah jam malam demikian tuduhan dari alfian tandjung"
1," hati hati panggilan telpon nomor tidak dikenal hati hati panggilan telpon nomor tidak dikenal "
1,"larangan antimiras di minimarket ditiadakan oleh rezim jokowi paska gobel pada april lalu menteri perdagangan rachmat gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh indonesia namun larangan yang tertuang dalam peraturan menteri perdagangan permendag nomor mdagper tentang pengendalian dan pengawasan terhadap pengadaan peredaran dan penjualan minuman beralkohol itu kini akan diubah"
1,"corona adalah hoaks corona is a hoax"
1,"kapal kargo pengangkut kadrun tenggelam di laut china selatan kapal kargo dari indonesia tujuan ke china dilaporkan tenggelam di laut china selatan pada sabtu malam pukul waktu setempat akibat kebocoran lambung kapal kapal tersebut mengangkut kadrun tujuan china dengan tujuan sebagai objek percobaan vaksin covid dimana harga monyet di china sangat mahal sementara harga kadrun bisa kali lebih murah dari harga monyet sampai saat ini masih dalam penyelidikan otoritas tiongkok mengenai sebab kecelakaan fatal tersebut"
1,"foto gubernur anies sedang makan dengan sekumpulan orang jawa tulen terlihat sekumpulan orang jawa tulen yang sedang menyantap kuliner khas jawa berupa nasi samin kebab buaya panggang dan minumannya tentu fifis onta segar percakapan dari mereka pun memakai bahasa jawa halus alias kromo inggil pulaseperti ana akhi antum afwan dan lain lain hmmm sungguh mengagumkan sekali bukan nb seng wani protes pki opo kowe bong "
1,"mulan jameela undur diri dari dpr ri nah mundur lebih terhormat daripada di pecat hayo yang lain monggo mengundurkan diri saja kalau merasa tidak sanggup dan tidak becus kerjanya "
1,"video fkppi dari bandung sudah berkumpul di monas siap siaga apabila ruu hip disyahkan oleh dpr fkppi dari bandung sudah berkumpul di monas siap siaga segala kemungkinan terjadi apabila ruu hip disyahkan oleh dpr revolusi jihad mati syahid atau hidup mulia bela negara dari ancaman komunisme "
1," pembantu baru positif corona di penjaringan pembantu yang baru datang orang di tes semuanya positif corona"
1,"foto sudjiatmi disiksa di alam barzakh sudjiatmi disiksa di alam barzakh hj sudjiatmi ibu presiden jokowi tersiksa di alam kubur secara sadis secara brutal dan sangat kejam tanpa ampunan disaat tgl april bulan lalu jenazah h sudjiatmi di semayamkan ke alam kubur entah tiba hanya seorang yang belum beranjak dari makamnya beliau ternyata presiden joko widodo"
1,"berdamai dengan corona yang dimaksud jokowi adalah pemerintah telah kalah dan menyerah astaghfirullah kemarin bersama kita lawan virus corona sekarang ayo kita berdamai dngn virus corona artinya pemerintah telah kalah dan mengibarkan bendera putih tanda menyerah "
1,"penerima stiker pada pesan whatsapp dikenakan sejumlah biaya tahukah teman ku di group ini kenapa menggunakan stiker menguntungkan pembuat nya setiap stiker atau gambar yg saudaraku krmkan di wa ini pembayarannya dibebankan kpd yg menerima rp"
1,"foto mahfud md mengaku mirip ashraf ingin nikahi bcl mengaku mirip ashraf pria ini ingin nikahi bcl"
1,"telah diculik umur anak bulan kejadian d angkot lebak bulus parung ibunda si bayi dihipnotis telah diculik keponakan dari ibu yulianah umur anak bulan jenis kelamin perempuan kejadian d angkot lebak bulus parung ibunda si bayi dihipnotis d angkot diturunkan di pondok cabe oleh pelakupenculikan kejadian hari sabtu feb sekitar jam "
1,"virus corona sudah sampai di apartemen taman anggrek dapet info dari client virus corona udah sampe sini di apartement ta udah ada org wuhan yg kena tp management tutupi supaya mall bs beroperasi dan mrk ga rugi barusan bgt dpt info dr client saya yg suaminya org cina mrk ada komunitas org cina di indo dan mrk kasih tau utk jauhi apartement ta dan sekitarnya"
1,"presiden cina xi jinping mengunjungi masjid dan meminta umat islam berdoa untuk negeri yang sedang dilanda krisis presiden cina xi jinping mengunjungi masjid dan meminta umat islam untuk berdoa di negara yang sedang dilanda krisis ini kami membutuhkan bantuan anda"
1,"pesan berantai biaya tilang baru biaya tilang terbaru di indonesia kapolri baru mantap tidak ada stnk rp tdk bawa sim rp tdk pakai helm rp "
1,"video jokowi mulai pucat sby ungkap pelaku korupsi jokowi mulai puct sby ungkp plku krup jiwasraya diduga orang belakang jokow heboh"
1,"all jakarta water park perkenalkan all jakarta water park"
1,"pergantian kartu keluarga warga dki jakarta dinas dukcapil jakarta tidak mewajibkan warga jakarta mengganti kk lamanya dengan tenggat waktu imbauan untuk segera memutakhirkan data memang terus didorong pemerintah terutama input data status pernikahan golongan darah dan susunan anggota keluarga"
1,"usus ibunya dimakan oleh bayi ini bayi ini bln dlm perut ibunya habis usus ibunya dimakan oleh bayi ini kemudian dokter mengoprasi ibunya untuk mengeluarkan bayi ini ketika bayi ini keluar dia gigit tangan perawat setelah jam si perawat meninggal ibu bayi ini pun meninggal setelah bayi ini keluar bayi ini lahir dgn berat kg setelah jam bertambah naik beratnya menjadi kg bayi ini lahir hari jumat tidak tahu allah ingin kasi peringatan apa untuk kita semua bayi ni kemudian dibunuh dokter memberinya suntik mematikan sampai kali baru bayi ini mati ini kisah benarbenar terjadi di india wallahu a lam"
1,"foto awan mengerikan di jepang ngeri si semoga tmn yg ada disana selamat amin yrb prayforjapan"
1,"narasi presiden korea utara menghukum pejabatnya yang korupsi presiden korea utara menghukum pejabatnya yang terlibat dalam kasus korupsi dihadapan para awak media cetak dan elektronik caranya berrjalan bergandengan tangan lalu plung dibawahnya kandang buaya luaaaar biasaaa "
1,"almarhum habibie di formasi jas merah mob umm adapun formasi tersebut adalah merahputih kh ahmad dahlan logo umm students today leaders tomorrow peta indonesia dan pray for lombok"
1,"petugas tewas tersetrum ketika melakukan perbaikan listrik kecamatan pedurungan"
1,"tv luar negeri sudah memberitakan prabowo the next presiden tv luar negeri sudah memberitakan prabowo the next presiden"
1,"ketua kpu umroh bareng jokowi aneh menjelang hari h pemilu koq bisanya ketua kpu umroh bareng jokowi padahal banyak masalah di kpu saat ini terutama di kpln bukankah ini pelanggaran "
1,"tiket promo kereta api hut bumn jalan naik kereta yuuuuk hayo jalan tiket ka promo "
1,"simulasi orang gila di bawa ke tps saat pemilu nanti simulasi orang gila di bawa ke tps saat pemilu nantipertama terjadi di dunia"
1,"broadcast whatsapp info test seleksi gttptt tabe siapa tahu ada keluargata yg guru sma ini ada info"
1,"puan maharani buka posko logistik di reuni info buat alumni harap hindari posko di monas posko milik puan maharani yang menuju ke istiqlal sebarkan agar jama ah yang lain tau"
1,"penerbangan pesawat hercules gratis ke palu untuk keluarga korban gempa dan tsunami jadwal hercules malam ini jam dan subuh besok di lanud makassar"
1,"capt pribadi adalah pengemudi pesawat yang mengijinkan hj neno warisman capt pribadi adalah pengemudi pesawat yang mengijinkan hj neno warisman sang dedengkot gerakan makar gantikhilafah untuk menggunakan sistem pengeras suara pesawat beberapa waktu lalu "
0,"coach indra sjafri saya pernah tahun tak digaji tapi ikhlas kendati sukses mengantarkan timnas indonesia u juara piala aff u dan lolos ke putaran final piala asia u "
1,"dua alquran yang diklaim sebagai alquran palsu kembali beredar ini alqur an palsu karang orang kafir"
1,"yelyel kecebong yang merencanakan untuk menyusup di cfd ane sebarin deh videonya nih liat yelyel kecebong yg merencanakan untuk menyusup di cfd untuk menghancurkan hastag gantipresiden cc bangpino netizentofa zarazettirazr roninkhalid ndoroputrie restycayah ardiriau dan allah sebaikbaik pembalas tipu daya "
0,"kronologis polisi berondong sedan terobos razia di lubuklinggau innalillah hanya karena lalai terobos razia mobil berisi satu keluarga ditembaki polisi satu orang tewas"
0,"kemristekdikti bukan undang dosen asing tapi profesor kelas dunia bukan dosen asing tapi profesor kelas dunia orang indonesia pun bisa mengikuti program ini asalkan dia mengajar di universitas di luar negeri dan mempunyai koneksi dengan peraih nobel kata direktur jenderal sumber daya iptek dan dikti kemristekdikti ali ghufron mukti di jakarta selasa"
1,"kecam pernyataan said aqil neno warisman kami para ibu tidak terima kecam pernyataan said aqil neno warisman kami para ibu tidak terima pernyataan kontroversial ketua pbnu said aqil siradj yang mengatakan nonton film porno lebih baik daripada dengarkan ceramah radikal karena sambil istighfar mendapat kecaman dari pegiat pendidikan anak neno warisman dia menuliskan kemarahannya dalam tulisan berikut ini "
1,"memerangi allah of kung fu padahal nama tersebut merupakan hasil translate otomatis google dari game aslinya yang berjudul galaxy fighting god of kung fu "
1,"permen susu mengandung narkoba assalamu alaikum ini ada informasi dari teman dokter anaknya bidan di banyumas makan permen susu trus hari gk mau makan ngefly disarankan temen dokter di purbalingga untuk membawa permen tsb ke bnn ternyata hasilnya positif mengandung narkoba jenis benzodiazepin"
1,"konser anies sandi no menang telak konser gue menang telak"
1,"poster aksi damai bela islam yang mencantumkan nama dan foto gatot nurmantyo beredarnya poster aksi damai bela islam menjadi viral di media sosial sebab di dalam poster tersebut terdapat nama dan foto panglima tni jenderal gatot nurmantyo"
0,"surat c sebagai syarat memberikan hak pilih pada pilkada dki jakarta pengumuman penting soal pilkada dki pemilih wajib ambil surat c on feb dgn pengurus rt apabila sampe feb surat c tidak diambil langsung pemilik rt akan kembalikan ke kpu warga dki yg tidak milik c hanya bisa memilih jam saja bawa ektp suket kk asli jika lewat dari pk suara anda hangus tlg sebarkan thank you"
1," pernyataan danjen kopassus dukung fpi tni umumnya waras kecuali wereng coklat kenapa gitu yah masa sih sejarah buruk harus terulang kembali kan serem bgt danjen kopassus fpi itu ormas terbesar dan suka membantu memberantas kemahsiatan yang harus dibubarkan ormas preman yang suka membekingi kemahsiatan dan suka bikin resah masyarakat"
1,"gambar salib pada barang bantuan bencana hati hati dan harus teliti menerima segala bentuk bantuan korban gempa kami mendapatkan gambar salib di handuk bantuan yg di edarkan"
1,"aksi dapat penghargaan rekor dunia tersebar gambar dua piagam yang menyatakan jika aksi mendapat penghargaan dari rekor dunia"
1,"foto petinggi kepolisian mengizinkan demo neo pki demo neo pki hari ini udah dapat ijin dari buntelan kentut maaf ralat dari petinggi kepolisian tinggal tunggu gendering perang ditabuh aja "
1,"tulisan mana teriakan saya pancasila mu oleh dr abdul muti med mana teriakan saya pancasila mu oleh dr abdul mu ti med sekum pp muhamadyah"
1,"petugas rapid test jarang mengganti sarung tangan bisa tularkan covid dari pasien sebelumnya bila tibatiba andapanjenengan terjebak dalam oprasi rapid tes dadakanujug ujug datang petugas yang mengharuskan mengikuti rapid tes maka perlu diperhatikan sarung tangan petugs kalau sarung tangan yang dipakai hanya ituitu saja satu yang dipakai tanpa ganti ganti dimana setelah petugas itu pegang orangoasien yang rapid tes kemudian tanpa ganti sarung tangan petugas lalu memegang andapanjenengan maka disinilah letak rawannya penularan virus nya karena kita ngga tau dan petugas pun ngga tau apakah orang yang dipegang sebelum kita tadi orang tersebut positifreaktif atau negatif jadi penularan bukan karena kita berada ditempat umum saja akan tetapi saat rapid tes dilakukan massal"
1,"video dokter bule ini nih dokter bule juga ngomong serupa bahkan ngasih data lebih lengkap detail intinya covid itu biasa aja nggak mematikan bisa sembuh sendiri mereka juga mengatakan kalau banyak yang meninggal karena penyakit lain tapi dimasukkan ke daftar covid kirain di sinih aja yang begitu lockdown psbb justru menimbulkan dampak yang sangat jauh lebih buruk dibanding covid "
1,"vietnam tidak ada korban meninggal covid karena teh dan lemon kabar gembira dan istimewa vietnam korban covid tidak ada yng mati berita super obat virus covid sudah tercapai informasi dari negara vietnam virus covid tidak menyebabkan kematian ternyata resepnya sangat sederhana tapi sangat ampuh hanya teh lemonminumlah teh panas setelah di campur perasan lemondapat segera membunuh virus covid dan dapat sepenuhnya menghilangkan virus covid dari tubuh bahan ini membuat sistem kekebalan tubuh menjadi bersifat basa karena ketika malam tiba sistem tubuh menjadi asam kemampuan detensif juga akan berkurang itulah sebabnya orang vietnam santai saja dengan menyebarnya virus covid di vietnam rata semua orang minum segelas air panas dengan sedikit lemon di malam hari karena telah terbukti membunuh virus covid secara total bagikan resep sakti ini kepada siapapun untuk memburu pahala resep sederhana ini sangat efektif karena tidak akan terinfeksi virus covid atas izin tuhan yme selamat mencoba "
1,"ratusan warga china yang menetap di indonesia menuju singapura karena virus corona ratusan warga china yang menetap di indonesia tadi pagi meninggalkan indonesia menuju singapura karena situasi virus corona yang menyerang indonesia mereka akan kembali lagi jika situasi di indonesia kembali normal"
1,"dua orang terinfeksi virus corona di parepare dua orang terinfeksi virus corona di parepare waspada ki semua tidak main main ini"
1,"the simpsons memprediksi corona virus dari china jangan pernah meremehkan the simpsons the simpsons corona virus dari china"
1,"setelah membakar alquran jari tangan pria ini menghitam dan membusuk mengeluarkan bau menjijikan azab yang sangat pedih menimpa seorang warga negara amerika karena merobekrobek dan membakar alqur an dia terkena penyakit yang sangat misteri semua jari di kedua tangannya melepuh membusuk dan menghitam selain itu pada lukanya tersebut juga menimbulkan aroma yang tak sedap"
1,"marak lowongan kerja mengatasnamakan perusahaannya pt inalum minta masyarakat waspada manajer humas pt inalum bambang heru prayoga informasi selain dari yang kami sebutkan ini maka hal itu dipastikan hoaks atau penipuan kami harap tidak ada masyarakat yang terkena penipuan rekrutmen atas nama inalum"
1,"cara cepat cek jantung dengan air dan es batu ingin mengetahui bagaimana kesehatan jantung anda tes sederhana ini mendeteksi seberapa sehat jantung kita menjaga jantung agar tetap berfungsi dengan baik sangat penting untuk kehidupan sehat jangka panjang"
1,"presiden jokowi melecehkan bendera merah putih coba dilhat baik yang melecehkan bendara indonesia yang mana tapi nyatanya yang sekarang di tahan di polda metro yang pegang bendara merah putih di tangan mohon yang punya kekuatan hukum advokat pengacara atau apa saja minta tolong didampingin anak stm ini kasihan tidak ada yang membelanya"
1,"suntingan video merry riana indonesia bubar viral indonesia bubar ini video merry riana yang asli tonton sampai habis "
1,"semua yang berbau jawa di jayapura hancur video keadaan terakhir jayapura mau ke bandara saja sampai hari dan dikawal marinir dievakuasi semua yg berbau jawa hancur "
0,"bahaya daging kurban dibungkus kresek hitam yusuf ridwan mengatakan kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lamayusuf ridwan mengatakan kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama"
1,"am hendropriyono meninggal di singapura innalilahiwainalrajiun telah mati seorang pembantai rakyat hendroprayono d singapore jgn d ucapi meninggalkarna dia pembantai manusia"
0,"penjelasan terkait video truk kontainer bergambar jokowimaruf amin truk semi kontainer paslon ini kirakira membawa apa "
1,"bahaya semutkutu jepang utk diabetes info bahaya semutkutu jepang utk diabetes ada sahabat sy ibu di magelang pengidap diabetes kmd dia konsumsi semutkutu jepang yg katanya bisa mengobati diabetes mungkin benar karena semut itu mengeluarkan insulin tapi hanya dalam waktu satu tahun mengkonsumsi semutkutu jepang itu ternyata ususnya terkena bakteri dan rusak sehingga harus dipotong ususnya"
1,"cnn indonesia buat berita berjudul sertifikat ganda kerja rezim jokowi cnn indonesia sertifikat ganda kerja rezim jokowi november "
1,"paham politik gak sih pak aduh pak bukan kelemahannya pak jokowi itu anda yang gak mudeng justru itu yang bikin anda dan kampret makin terlihat bodoh paham politik gak sih pak"
1,"judul berita prabowo mengaji tidak dibutuhkan dalam memimpin negara ah pokoknya apa kata prabowo laaah amin rais jangan nyinyir yaaaa keh keh keh"
0,"universitas muhammadiyah kupang bantah akan menginisasi gerakan gantipresiden terkait salah satu dosennya menjadi insiator gerakan gantipresiden di kabupaten manggarai barat nusa tenggara timur ntt pihak universitas muhammadiyah kupang umk membantah bahwa kampusnya terlibat dalam gerakan tersebut"
0,"pks dan gerindra purwakarta bantah pasang spanduk yang dinilai provokatif kami caleg partai gerindra dan pks menolak khilafah indonesia damai menolak khilafah di wilayah purwakarta barisan muda muslim purwakarta"
1,"kalimantan barat memanas menang songong kalah ngamuk"
1,"tersangka ujaran kebencian dosen usu himma dewiyana dibebaskan terima kasih bang romo syafi i dan ketua kahmi telah membantu membebaskan ibu himma"
1,"dedi mulyadi menghamili siswi mts bupati purwakarta yang kini menjadi calon wakil gubernur jawa barat dedi mulyadi pernah membantah informasi yang mengatakan dirinya menghamili siswi mts yang sebenarnya terjadi kata dedi adalah ia menjadi saksi nikah dari seorang anak tokoh masyarakat sumedang yang tengah hamil dengan yang menghamilinya"
1,"di tuduh curi medali milik bambang pamungkas muhammad yusuf buka suara mantan ketua umum jakmania larico ranggamone soal yang ramai medali bepe hilang ditunjukkan kepada m yusuf ini itu medali palsu didapat dari tantenya dari pssi itu beda dari medali yang didapat tim persija "
1,"malam nanti jam pagi bulan akan mengelilingi kabah malam nanti jam pagi bulan akan mengelilingi ka bah dan langit akan berwarna biru muda inilah sa at penerima an doataubatmunajatini terjadi setiap ribu tahun sekali hari ini di malam hari siapa pun yang berdo a akan diterima bulan akan melakukan tawaaf di sekitar ka bah tolong sampaikan ini kepada semua orang rabbi minkulli zambi wa atubu illiahi jika kamu mengirim doa ini ke temanmu allah akan menyelesaikan semua masalahmu tolong kirimkan ini ke setiap orang dekat kita sehingga mereka bisa mengetahui semoga bermanfaat aamiin"
1,"pendaftaran peserta uji nyali masih dunia lain trans di pabrik mercon pendaftaran peserta acara uji nyali masih dunia lain televisi trans buat para spookiers yang pengen ikutan uji nyali langsung kirim data melalui email data yang perlu diisi adalah nama umur alamat pekerjaan motivasi ikut uji nyali no telp "
1,"kartu sim xl indosat smarfren dan telkomsel disadap badan intelijen as kemenkominfo melalui badan regulasi telekomunikasi indonesia brti menyatakan telah menerima laporan investigasi operator seluler terkait dugaan penyadapan pada kartu sim buatan gemalto hutchinson xl axiata indosat telkomsel oleh badan intelijen as national security agency nsa dan government communication headquarter gchq"
1,"rombongan aniessandi ditilang dan tak miliki izin patwal di puncak bogor rombongan aniessandi ditilang dan tak miliki izin patwal di puncak bogor"
1,"foto john kei yang sudah disunting bismillah hari ini team mualaf center darussalam diwakili harsha agousta brahma sadewa dan ibu jenderal lisze dewi purnamawati berangkat ke lp batu nusakambangan cilacap memastikan niat john kei masuk islam sebelum memutuskan masuk islam john kei alias john refra pemuda asal tutrean pulau kei pernah di juluki sebagai godfather of jakarta"
0,"pengoperasionalan kereta bandara buat teman yang ada kunjungan ke jakarta sejak agustus sudah ada transportasi kereta api dari bandara soekarnohatta"
0,"tusuk gigi sebarkan hiv aids tusuk gigi sebarkan hiv aids"
1,"pelaku bom kampung melayu adalah anggota polisi pelaku bom kampung melayu adalah anggota polisi"
1," pembubabaran pengajian ustad khalid basalamah oleh banser nu pembubabaran pengajian ustad khalid basalamah oleh banser nu"
1,"foto helikoptertank pertama di dunia buatan turki dan pakistan foto helikoptertank pertama di dunia buatan turki dan pakistan"
1,"es krim merek aice bosnya orang cina dan bahannya kimia semua siang tadi sy mampir di distributor es krim merk aice yg sedang marak penetrasi bisnisnya yg terletak di selatan tugu lilin makam haji melihat banyak spanduk bertulisan china iseng sy tanya penjaga counter yg didepan pinggir jln bos nya orang mana mba jakarta atau solo dijawab orang china lho kok tau kalau org china apa sdh pernah ketemu tris dia nunjuk disebuah mobil avanza putih itu bosnya di dlm mobil itu ngomongnya aja pake bhs china dia asli datang dari china katanya penasaran sy tunggu si bos keluar dari mobil betul ternyata chino"
1,"video yang menunjukkan anak muslim yang disiksa oleh budha di myanmar video yang menunjukkan anak muslim yang disiksa oleh budha di myanmar"
1,"foto kerusuhan demo anti trump di amerika serikat foto kerusuhan demo anti trump di amerika serikat"
1,"bentrok antar ormas gerakan jaga indonesia dengan fpi lpi dan hti di kota bandung pada juli aksi demo yang tanpa tujuan di depan gedung dprmpr yang di lakukan orang simpatisan pdip di komandoi oleh boedi djarot dkk yang menginjakinjak merobek dan membakar poster habib rizieq syihab ternyata berbuntut panjang di kota bandung terjadi bentrok antara ormas gerakan jaga indonesia gjipdip dengan ormasormas islam fpi hti lpi pembela dan penjaga pancasila nkri dan ulama akibatnya orang anggota ormasa gerakan jaga indonesia pdip mati kena sabetan pedang lasykar fpi dari pihak hti orang mengalami luka sabetan di bahu bukan itu saja bentrokan pun meluas hingga terjadi kebakaran beberapa pertokoan yang berdekatan dengan markas pdip karena lemparan bom molotov aparat polisi pun tidak berani ke tkp"
1,"video kecelakaan maut di air terjun uluk til belu ntt kecelakaan maut di air terjun uluk til belu ntt"
1,"aliran komunis gerakan pki bangkit lewat pdip lebih jauh prijanto mengatakan istilah petugas partai yang disampaikan ketua umum pdip megawati soekarnoputri kepada jokowi juga dinilai modus komunisme sebab istilah petugas partai mirip dengan pekerja partai yang pernah dikatakan tokoh pki dn aidit"
1,"gubernur jakarta anies baswedan mendapat penghargaan terbaik di seluruh dunia dalam penanganan covid gubernur jakarta anies baswedan mendapat penghargaan terbaik di seluruh dunia dalam penanganan covid"
1,"masyarakat new zealand belajar wudhu kabar terbaru dari new zealand subhanallah masyarakat new zealand pd belajar wudhu dan kumpul di lapangan mereka mulai belajar dan mendalami islam kalau allah sudah berkehendak semua bisa terjadi allahu akbar sungguh allah maha pembolak balik hati manusia"
1,"sejumlah polisi india telah tiba di indonesia kabar terkini sejumlah polisi india telah tiba di indonesia untuk menertibkan masyarakat yg tdk mau tinggal di rumahsiapkan pantat dan minyak gosok"
1,"pasukan tentara membantu melawan virus corona di new york military vehicles arrived in manhattannew york wuhan coronavirus"
1,"video keluyuran diluar rumah di malaysia ditembak api pakai drone keluyuran diluar rumah di malaysia ditembak api pakai drone "
1,"antisipasi corona seluruh bumn dki ditutup antisipasi corona seluruh bumn dki ditutup"
1,"jokowi halal dilengserkan manusia yg gk punya nilai dn kuwalitas gk pantas mnjdi apapun di negeri ini"
1,"sandiwara dagelan koplax di perskusi sendiridi viralkan sendiridi laporkan sendiri minta maaf dan memaafkan sendiri sandiwara dagelan koplax di perskusi sendiridi viralkan sendiridi laporkan sendiri minta maaf dan memaafkan sendiri sakit jiwa kali yang beginian ya"
1,"beredar surat rekrutmen satpol pp kepala satpol pp dan damkar sintang angkat bicara kepala satpol pp dan damkar martin nandung gak jelas sumber dan tidak ada penanggungjawab ndak ada cap dan tanda tangan"
